Gender;School_Year;School_Name;Use?;Classification;AVG_increase;AVG_decrease;Self_assessment;frequency_in1day;Another website;PrioritizeofChatGPTvsAnotherWebsite;Trust;Effective;Affect;Satisfied;Fit;Inspiration;thinking_influence;Manage_study_time;Replace_teacher;Save_time;Negative_affects;Make_lazy;improve_learning;Satisfied_with_results;HowChatGPTwork;Consistent_with_understanding;Contend_GG_vs_ChatGPT;Use_for_work;Make_question;String
0;Năm 2;Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology);1;3;2;;5;2;Wikipedia.org, Google.com, Youtube.com, Google Scholar;1;4;4;5;5;4;1;0;1;0;3;3;1;4;4;0;4;4;1;1;không ý kiến
0;Năm 4;Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology);1;3;5;;5;1;Wikipedia.org, Google.com, Youtube.com;3;3;4;4;5;3;1;1;1;1;5;5;1;5;5;1;4;5;1;1;Không quan tâm
1;Năm 4;Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology);1;2;4;5;3;3;Youtube.com;2;4;4;4;4;4;0;1;1;1;3;4;0;4;4;1;3;4;0;1;Đúng
1;Năm 2;Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology);1;4;2;;1;1;Google.com;3;2;2;2;2;2;0;1;0;0;2;2;1;2;2;1;2;2;1;1;Làm sinh viên dựa dẫm vào nó và làm giảm khả năng suy nghĩ
0;Năm 1;Đại học FPT (FPT University);1;1;4;;1;1;Google.com;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;Rất hài lòng
0;Năm 1;Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology);1;4;4;;3;2;Wikipedia.org, Google.com, Youtube.com;2;3;3;2;3;3;0;0;0;0;2;2;0;3;3;1;3;3;1;1;Bình thường
1;Năm 2;Trường Đại học Kinh tế – Luật (University of Economics and Law (UEL);0;2;2;;1;1;Khác;3;1;1;1;3;3;0;0;0;1;3;3;1;3;3;1;3;3;0;1;Bình thường
0;Năm 2;Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology);1;3;2;;3;3;Youtube.com;2;3;3;3;4;3;1;1;1;1;4;4;1;4;5;1;4;5;1;1;rất ổn
0;Năm 2;Đại học Ngân hàng TP.HCM (Ho Chi Minh City University of Banking);1;3;2;;5;3;Wikipedia.org, Google.com, Youtube.com;1;4;4;4;4;4;0;1;0;0;4;4;1;4;4;0;3;5;1;1;Không ý kiến
0;Năm 1;Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities);1;3;2;;2;1;Google.com, Youtube.com, Google Scholar;2;3;4;2;3;4;1;1;0;0;2;3;1;3;4;0;3;4;1;0;Đó là điều tất nhiên, vì ChatGPT được cập nhật mỗi ngày
