Dấu thời gian,1. Giới tính của bạn là gì?,2. Bạn là sinh viên năm mấy?,3. Trường đại học bạn đang theo học là gì?,4. Bạn có sử dụng ChatGPT trong việc học không?,5. Xếp loại học tập của bạn là?,6. Điểm trung bình (hệ 4) của bạn sau khi sử dụng ChatGPT có xu hướng ? [Tăng],6. Điểm trung bình (hệ 4) của bạn sau khi sử dụng ChatGPT có xu hướng ? [Giảm],7. Bạn tự đánh giá về việc sử dụng ChatGPT cho quá trình học?,8. Tần suất bạn sử dụng ChatGPT trong 1 ngày là:,9. Các website hỗ trợ việc tra cứu của bạn ngoài ChatGPT là?,10. Mức độ ưu tiên bạn dành cho việc sử dụng ChatGPT so với các website tra cứu học tập khác là?,11. Mức độ đáng tin cậy của bạn dành cho ChatGPT trong việc cung cấp thông tin học tập là?,12. Hiệu quả của ChatGPT trong giải quyết các câu hỏi và vấn đề học tập của bạn là:,13. Mức độ ảnh hưởng của ChatGPT đến khả năng tự học và nghiên cứu của bạn:,14. Mức độ hài lòng với sự trợ giúp của ChatGPT trong việc giải đáp các câu hỏi học tập của bạn:,15. Nội dung chatGPT đưa ra có phù hợp với nội dung tìm kiếm của bạn không?,16. ChatGPT có khả năng truyền cảm hứng và tạo động lực trong việc học không?,17. ChatGPT có ảnh hưởng đến khả năng tư duy sáng tạo của bạn trong việc giải quyết vấn đề không?,18. ChatGPT có thể giúp bạn quản lý thời gian học hiệu quả hơn không?,19. ChatGPT có khả năng thay thế hoàn toàn vai trò của giáo viên trong quá trình học không?,20. Bạn nghĩ sinh viên dùng ChatGPT làm bài tập nhanh hơn bao nhiêu lần so với sinh viên không dùng ChatGPT?,21. Bạn cảm thấy ChatGPT gây phụ thuộc và ảnh hưởng tiêu cực đến khả năng tự học và phát triển bản thân hay không?,22. Bạn nghĩ khi dùng ChatGPT có khiến bạn trở nên lười học không ?,23. Bạn cảm thấy việc sử dụng ChatGPT có cải thiện việc học của bạn hay không?,24. Bạn có hài lòng về kết quả được cung cấp trên ChatGPT không?,"25. Bạn có hiểu bản chất, cách thức hoạt động của ChatGPT không?",26. ChatGPT đưa ra nội dung câu trả lời có phù hợp với hiểu biết của bạn không?,27. Giữa nội dung của google trả về và câu trả lời ChatGPT đưa ra bạn thích câu trả lời của ai hơn?,28. Bạn sẽ sử dụng ChatGPT cho công việc của bạn trong tương lai không?,29. Bạn có biết cách đặt câu hỏi với chatGPT không?,30. Nội dung mà ChatGPT đưa ra càng ngày càng thông minh bạn nghĩ thế nào về việc này?
03/06/2023 15:47,Nam,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,0.16 - 0.25,,5,1 - 2 giờ,"Wikipedia.org, Google.com, Youtube.com, Google Scholar",1,4,4,5,5,4,Có,Không,Có,Không,3,3,Có,4,4,Không,4,4,Có,Có,không ý kiến
03/06/2023 16:07,Nam,Năm 4,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,3,> 0.45,,5,< 1 giờ,"Wikipedia.org, Google.com, Youtube.com",3,3,4,4,5,3,Có,Có,Có,Có,5,5,Có,5,5,Có,4,5,Có,Có,Không quan tâm
03/06/2023 16:11,Nữ,Năm 4,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,2,0.36 - 0.45,> 0.45,3,2 - 3 giờ,Youtube.com,2,4,4,4,4,4,Không,Có,Có,Có,3,4,Không,4,4,Có,3,4,Không,Có,Đúng
03/06/2023 16:17,Nữ,Năm 2,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,4,0.26 - 0.35,,1,< 1 giờ,Google.com,3,2,2,2,2,2,Không,Có,Không,Không,2,2,Có,2,2,Có,2,2,Có,Có,Làm sinh viên dựa dẫm vào nó và làm giảm khả năng suy nghĩ
03/06/2023 16:26,Nam,Năm 1,Đại học FPT (FPT University),Có,1,0.36 - 0.45,,1,< 1 giờ,Google.com,1,1,1,1,1,1,Có,Có,Có,Có,1,1,Có,1,1,Có,2,2,Có,Có,Rất hài lòng
03/06/2023 17:12,Nam,Năm 1,Đại học Công nghệ TP.HCM (Ho Chi Minh City University of Technology),Có,4,0.36 - 0.45,,3,1 - 2 giờ,"Wikipedia.org, Google.com, Youtube.com",2,3,3,2,3,3,Không,Không,Không,Không,2,2,Không,3,3,Có,3,3,Có,Có,Bình thường
03/06/2023 17:45,Nữ,Năm 2,Trường Đại học Kinh tế – Luật (University of Economics and Law (UEL),Không,2,0.16 - 0.25,,1,< 1 giờ,Khác,3,1,1,1,3,3,Không,Không,Không,Có,3,3,Có,3,3,Có,3,3,Không,Có,Bình thường
03/06/2023 20:56,Nam,Năm 2,Đại học Bách Khoa TP.HCM (Ho Chi Minh City University of Technology),Có,3,0.26 - 0.35,,3,2 - 3 giờ,Youtube.com,2,3,3,3,4,3,Có,Có,Có,Có,4,4,Có,4,5,Có,4,5,Có,Có,rất ổn
03/06/2023 21:01,Nam,Năm 2,Đại học Ngân hàng TP.HCM (Ho Chi Minh City University of Banking),Có,3,0.26 - 0.35,,5,2 - 3 giờ,"Wikipedia.org, Google.com, Youtube.com",1,4,4,4,4,4,Không,Có,Không,Không,4,4,Có,4,4,Không,3,5,Có,Có,Không ý kiến
03/06/2023 21:03,Nam,Năm 1,Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities),Có,3,0.16 - 0.25,,2,< 1 giờ,"Google.com, Youtube.com, Google Scholar",2,3,4,2,3,4,Có,Có,Không,Không,2,3,Có,3,4,Không,3,4,Có,Không,"Đó là điều tất nhiên, vì ChatGPT được cập nhật mỗi ngày"
03/06/2023 21:05,Nam,Năm 3,Đại học Khoa học Xã hội và Nhân văn TP.HCM (Ho Chi Minh City University of Social Sciences and Humanities),Có,2,0.16 - 0.25,,3,2 - 3 giờ,"Wikipedia.org, Google.com, Youtube.com, Google Scholar",3,3,3,3,3,4,Không,Không,Không,Không,4,4,Có,4,3,Có,4,1,Có,Có,Bình thường
